current,filename,current_subfolder,score_5_plex,score_6_plex,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Contracts/Ltr -Contract termination Allendale 5plex (1).pdf,Ltr -Contract termination Allendale 5plex (1).pdf,Contracts,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Plans & Permits/2441288-SurveyPlan Allendale 6408 Survey.pdf,2441288-SurveyPlan Allendale 6408 Survey.pdf,Plans & Permits,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,Allendale_QS_cost_log_FINAL_with_BTY.xlsx,_NeedsReview,3,2,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Holding_Cost_Summary.xlsx,Allendale_Holding_Cost_Summary.xlsx,_NeedsReview,0,1,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Sources_Uses_1.xlsx,Allendale_Sources_Uses_1.xlsx,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6408 Cost Overview - CLEAN.xlsx,Allendale 6408 Cost Overview - CLEAN.xlsx,_NeedsReview,3,1,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf - signed.pdf,Allendale 61 INC. Credit Facility and Promissory Note - (CMI)May2024.pdf - signed.pdf,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Merged_Equity_SoftCosts.xlsx,Allendale_Merged_Equity_SoftCosts.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Project_Cost.xlsx,Allendale_Project_Cost.xlsx,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Complete_with_Docusign_Allendale_61_INC_GSA.pdf,Complete_with_Docusign_Allendale_61_INC_GSA.pdf,_NeedsReview,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Steps.xlsx,Allendale_Partner_Steps.xlsx,_NeedsReview,3,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_Cost_Overview_-_CLEAN.xlsx,Allendale_6408_Cost_Overview_-_CLEAN.xlsx,_NeedsReview,3,1,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
